cpu_times-user,cpu_times-system,cpu_times-children_user,cpu_times-children_system,cpu_times-iowait,memory_full_info-rss,memory_full_info-vms,memory_full_info-shared,memory_full_info-text,memory_full_info-lib,memory_full_info-data,memory_full_info-dirty,memory_full_info-uss,memory_full_info-pss,memory_full_info-swap,memory_percent,cpu_percent
3.81,0.16,0.0,0.0,0.0,778829824,803885056,6160384,2818048,0,788779008,0,571559936,572240896,0,4.748492995783035,96.3
3.91,0.17,0.0,0.0,0.0,799408128,820662272,6160384,2818048,0,805556224,0,592179200,592860160,0,4.873958058108505,106.2
4.01,0.17,0.0,0.0,0.0,819986432,857509888,6160384,2818048,0,842403840,0,782426112,783107072,0,4.999423120433973,95.7
4.12,0.17,0.0,0.0,0.0,840957952,874287104,6160384,2818048,0,859181056,0,784420864,785094656,0,5.12728560433254,105.4
4.22,0.17,0.0,0.0,0.0,861929472,891064320,6160384,2818048,0,875958272,0,775806976,776487936,0,5.255148088231108,95.3
4.32,0.18,0.0,0.0,0.0,882900992,907841536,6160384,2818048,0,892735488,0,844877824,845558784,0,5.383010572129675,104.8
4.42,0.18,0.0,0.0,0.0,903741440,924618752,6160384,2818048,0,909512704,0,865837056,866518016,0,5.510873056028242,95.2
4.52,0.18,0.0,0.0,0.0,924581888,963973120,6160384,2818048,0,948867072,0,886976512,887657472,0,5.637137258878076,95.4
4.63,0.18,0.0,0.0,0.0,945291264,980750336,6160384,2818048,0,965644288,0,738041856,738722816,0,5.763401461727911,105.2
4.72,0.19,0.0,0.0,0.0,965869568,997527552,6160384,2818048,0,982421504,0,758558720,759239680,0,5.88886652405338,95.9
4.82,0.19,0.0,0.0,0.0,986447872,1014304768,6160384,2818048,0,999198720,0,779218944,779899904,0,6.01433158637885,95.9
4.92,0.2,0.0,0.0,0.0,1007157248,1031081984,6160384,2818048,0,1015975936,0,921276416,921957376,0,6.140595789228684,104.9
5.01,0.21,0.0,0.0,0.0,1027735552,1047859200,6160384,2818048,0,1032753152,0,820576256,821270528,0,6.266060851554153,95.3
5.12,0.21,0.0,0.0,0.0,1048313856,1090035712,6160384,2818048,0,1074929664,0,1030201344,1030882304,0,6.3923250544039885,103.8
5.22,0.22,0.0,0.0,0.0,1069023232,1105764352,6160384,2818048,0,1090658304,0,1062137856,1062835200,0,6.517790116729458,103.6
5.32,0.22,0.0,0.0,0.0,1089601536,1123590144,6160384,2818048,0,1108484096,0,882323456,883004416,0,6.6432551790549255,95.1
5.42,0.23,0.0,0.0,0.0,1110310912,1140367360,6160384,2818048,0,1125261312,0,1053831168,1054504960,0,6.769519381904761,104.3
5.5,0.24,0.0,0.0,0.0,1130889216,1157144576,6160384,2818048,0,1142038528,0,804364288,805038080,0,6.89498444423023,85.7
5.61,0.24,0.0,0.0,0.0,1151729664,1173921792,6160384,2818048,0,1158815744,0,1133772800,1134453760,0,7.022047787604431,103.3
5.71,0.25,0.0,0.0,0.0,1172701184,1219272704,6160384,2818048,0,1204166656,0,1146032128,1146714112,0,7.149910271502999,103.2
5.82,0.25,0.0,0.0,0.0,1193672704,1236049920,6160384,2818048,0,1220943872,0,1107664896,1108345856,0,7.277772755401565,103.6
5.91,0.26,0.0,0.0,0.0,1214644224,1252827136,6160384,2818048,0,1237721088,0,1176707072,1177388032,0,7.405635239300133,93.7
6.01,0.27,0.0,0.0,0.0,1235484672,1269604352,6160384,2818048,0,1254498304,0,1102753792,1103427584,0,7.532698582674334,103.6
6.1,0.28,0.0,0.0,0.0,1256456192,1286381568,6160384,2818048,0,1271275520,0,1218576384,1219257344,0,7.6605610665729005,93.1
6.2,0.29,0.0,0.0,0.0,1273495552,1300013056,6160384,2818048,0,1284907008,0,765829120,766502912,0,7.764449334740487,104.6
6.3,0.3,0.0,0.0,0.0,1293156352,1315741696,6160384,2818048,0,1300635648,0,769744896,770418688,0,7.884320413395393,104.8
6.4,0.3,0.0,0.0,0.0,1314127872,1364668416,6160384,2818048,0,1349562368,0,1181274112,1181947904,0,8.012182897293961,93.9
6.5,0.3,0.0,0.0,0.0,1334837248,1381445632,6160384,2818048,0,1366339584,0,1007878144,1008551936,0,8.138447100143795,94.7
6.6,0.3,0.0,0.0,0.0,1355415552,1398222848,6160384,2818048,0,1383116800,0,813740032,814413824,0,8.263912162469264,95.1
6.7,0.31,0.0,0.0,0.0,1375993856,1415000064,6160384,2818048,0,1399894016,0,856956928,857651200,0,8.389377224794734,104.3
6.79,0.32,0.0,0.0,0.0,1396703232,1431777280,6160384,2818048,0,1416671232,0,1069834240,1070508032,0,8.515641427644569,94.6
6.89,0.32,0.0,0.0,0.0,1417281536,1448554496,6160384,2818048,0,1433448448,0,898068480,898749440,0,8.641106489970037,94.7
6.99,0.33,0.0,0.0,0.0,1437859840,1465331712,6160384,2818048,0,1450225664,0,1111031808,1111705600,0,8.766571552295506,103.9
7.09,0.33,0.0,0.0,0.0,1458569216,1482108928,6160384,2818048,0,1467002880,0,1131667456,1132341248,0,8.892835755145342,94.5
7.19,0.33,0.0,0.0,0.0,1479409664,1535049728,6160384,2818048,0,1519943680,0,1271902208,1272583168,0,9.019899098519542,93.8
7.29,0.33,0.0,0.0,0.0,1500381184,1551826944,6160384,2818048,0,1536720896,0,1173790720,1174464512,0,9.14776158241811,93.7
7.4,0.34,0.0,0.0,0.0,1521352704,1568604160,6160384,2818048,0,1553498112,0,1435574272,1436255232,0,9.275624066316675,112.0
7.49,0.35,0.0,0.0,0.0,1542324224,1585381376,6160384,2818048,0,1570275328,0,1334812672,1335493632,0,9.403486550215243,93.1
7.59,0.35,0.0,0.0,0.0,1563295744,1602158592,6160384,2818048,0,1587052544,0,1236529152,1237202944,0,9.531349034113811,94.0
7.7,0.35,0.0,0.0,0.0,1584267264,1618935808,6160384,2818048,0,1603829760,0,1257570304,1258253312,0,9.659211518012379,102.7
7.81,0.35,0.0,0.0,0.0,1605238784,1635713024,6160384,2818048,0,1620606976,0,1397600256,1398281216,0,9.787074001910945,102.2
7.91,0.35,0.0,0.0,0.0,1626079232,1652490240,6160384,2818048,0,1637384192,0,1299492864,1300166656,0,9.91493648580951,93.2
8.0,0.36,0.0,0.0,0.0,1646002176,1708904448,6160384,2818048,0,1693798400,0,1041461248,1042158592,0,10.035606704988785,93.9
8.1,0.37,0.0,0.0,0.0,1666711552,1725681664,6160384,2818048,0,1710575616,0,1147707392,1148388352,0,10.16187090783862,103.0
8.2,0.38,0.0,0.0,0.0,1687683072,1742458880,6160384,2818048,0,1727352832,0,1360961536,1361635328,0,10.289733391737187,102.5
8.29,0.39,0.0,0.0,0.0,1708654592,1759236096,6160384,2818048,0,1744130048,0,1382006784,1382680576,0,10.417595875635753,93.1
8.39,0.4,0.0,0.0,0.0,1729626112,1776013312,6160384,2818048,0,1760907264,0,1210699776,1211394048,0,10.54545835953432,102.7
8.5,0.4,0.0,0.0,0.0,1750597632,1792790528,6160384,2818048,0,1777684480,0,1423847424,1424521216,0,10.673320843432887,102.6
8.6,0.4,0.0,0.0,0.0,1771569152,1809567744,6160384,2818048,0,1794461696,0,1252429824,1253110784,0,10.801183327331456,93.8
8.7,0.4,0.0,0.0,0.0,1792540672,1826344960,6160384,2818048,0,1811238912,0,1273380864,1274061824,0,10.929045811230022,93.8
8.8,0.41,0.0,0.0,0.0,1813381120,1843122176,6160384,2818048,0,1828016128,0,1294479360,1295160320,0,11.056109154604222,102.4
8.9,0.41,0.0,0.0,0.0,1834221568,1859899392,6160384,2818048,0,1844793344,0,1315430400,1316124672,0,11.183172497978425,93.0
9.0,0.42,0.0,0.0,0.0,1854799872,1922449408,6160384,2818048,0,1907343360,0,1335746560,1336427520,0,11.308637560303893,102.0
9.11,0.42,0.0,0.0,0.0,1875509248,1939226624,6160384,2818048,0,1924120576,0,1204035584,1204732928,0,11.434901763153729,102.5
